text,kategori
mau mati aja,stres
kenapa harus berusaha waktu kesepian,stres
kenapa harus ngerjain tugas waktu tekanan hidup,stres
bodoh banget kan jadi malu maluin,stres
capek banget jadi orang yang selalu tidur,stres
takut ga sukses dan ngecewain orang tua,stres
rasanya pengen berpikir pas lagi masalah keluarga,stres
beneran gak kuat lagi buat menghindar,stres
muak jadi omongan orang,stres
udah nangis tapi tetap harapan palsu,stres
aku berpikir karena harapan palsu,stres
aku lelah harus terus pura-pura kuat,stres
gak sanggup lagi nangis setiap hari,stres
kenapa harus ngerjain tugas waktu deadline tugas,stres
nilai jelek banget padahal udah belajar,stres
capek banget jadi orang yang selalu berusaha,stres
tiap malam cuma bisa nangis karena masalah keluarga,stres
aku ngerjain tugas karena beban pikiran,stres
gak sanggup lagi berusaha setiap hari,stres
udah ngelamun tapi tetap diri sendiri,stres
gak sanggup lagi memuaskan orang lain setiap hari,stres
tiap malam cuma bisa nahan emosi karena tuntutan orang tua,stres
rasanya pengen memuaskan orang lain pas lagi tekanan hidup,stres
aku lelah harus terus berpikir,stres
pusing ngerjain tugas dipaksa orang tua,stres
kenapa harus ngeluh waktu tekanan hidup,stres
stres banget ternyata susah mata pelajaran ini,stres
kenapa harus melawan pikiran negatif waktu harapan palsu,stres
aku lelah harus terus ngeluh,stres
cuma bisa pura-pura kuat karena masa lalu,stres
rasanya pengen pura-pura kuat pas lagi masalah keluarga,stres
beneran gak kuat lagi buat ngerjain tugas,stres
aku pura-pura kuat karena teman toxic,stres
capek banget jadi orang yang selalu ngeluh,stres
aduh tugas hari ini banyak banget pusing,stres
kepalaku penuh sama masalah keluarga,stres
rasanya pengen nangis pas lagi tuntutan orang tua,stres
rasanya pengen berpikir pas lagi omongan orang,stres
aku berusaha karena harapan palsu,stres
gak sanggup lagi melawan pikiran negatif setiap hari,stres
rasanya pengen ngerjain tugas pas lagi tuntutan orang tua,stres
pengen nangis tugas banyak banget,stres
gak sanggup lagi ngeluh setiap hari,stres
rasanya pengen nangis pas lagi tekanan hidup,stres
aaaa banyak banget tugasnya,stres
capek banget jadi orang yang selalu nangis,stres
aku berusaha karena tuntutan orang tua,stres
ngeselin banget diliatin orang lain,stres
gak sanggup lagi diam setiap hari,stres
emosi banget dikatain mulu,stres
haha aku emang pantes dibully,stres
aku berusaha karena masa lalu,stres
kenapa harus ngerjain tugas waktu diri sendiri,stres
aku berpikir karena beban pikiran,stres
aku ngeluh karena diri sendiri,stres
kenapa harus ngeluh waktu tuntutan orang tua,stres
serius nih tiap malem harus nahan rasa sakit,stres
